title,company,location,date,category,full_text,source
"Full Stack Engineer (React, Next.js, Node & Python)Wisdom RecruitmentSRemote4 hours ago4 hrs",Wisdom RecruitmentS,,2026-05-04T09:51:58+05:30,Software Engineering,"Full Stack Engineer (React, Next.js, Node & Python) Wisdom RecruitmentS Remote 4 hours ago 4 hrs",itpro.lk
"Full Stack Engineer (React, Next.js, Node.js, NestJS) — UI/UX StrongCarePlan AIRemote01 May 202601 May",CarePlan AI,,2026-05-01T22:55:16+05:30,Software Engineering,"Full Stack Engineer (React, Next.js, Node.js, NestJS) — UI/UX Strong CarePlan AI Remote 01 May 2026 01 May",itpro.lk
Senior/Software EngineerPacificKodeColombo01 May 202601 May,PacificKode,,2026-05-01T13:02:55+05:30,Software Engineering,Senior/Software Engineer PacificKode Colombo 01 May 2026 01 May,itpro.lk
Full Stack Developer InternHotfix TechRemote01 May 202601 May,Hotfix Tech,,2026-05-01T12:14:02+05:30,Software Engineering,Full Stack Developer Intern Hotfix Tech Remote 01 May 2026 01 May,itpro.lk
Software DeveloperGlenzsoft (Pvt) LtdKandy01 May 202601 May,Glenzsoft (Pvt) Ltd,,2026-05-01T04:49:15+05:30,Software Engineering,Software Developer Glenzsoft (Pvt) Ltd Kandy 01 May 2026 01 May,itpro.lk
Intern – Back End DeveloperDI11 SoftRemote30 Apr 202630 Apr,DI11 Soft,,2026-04-30T21:30:23+05:30,Software Engineering,Intern – Back End Developer DI11 Soft Remote 30 Apr 2026 30 Apr,itpro.lk
Intern – Front End DeveloperDI11 SoftRemote30 Apr 202630 Apr,DI11 Soft,,2026-04-30T21:27:35+05:30,Software Engineering,Intern – Front End Developer DI11 Soft Remote 30 Apr 2026 30 Apr,itpro.lk
Senior Software Engineer - .NETVitalHub Innovations LabColombo29 Apr 202629 Apr,VitalHub Innovations Lab,,2026-04-29T19:59:37+05:30,Software Engineering,Senior Software Engineer - .NET VitalHub Innovations Lab Colombo 29 Apr 2026 29 Apr,itpro.lk
Software Engineering InternBiztatRemote29 Apr 202629 Apr,Biztat,,2026-04-29T06:09:48+05:30,Software Engineering,Software Engineering Intern Biztat Remote 29 Apr 2026 29 Apr,itpro.lk
Senior Laravel Full Stack DeveloperZB SolutionsKattankudy28 Apr 202628 Apr,ZB Solutions,,2026-04-28T19:19:11+05:30,Software Engineering,Senior Laravel Full Stack Developer ZB Solutions Kattankudy 28 Apr 2026 28 Apr,itpro.lk
Senior Software Engineer – .NET (API & Middleware)VS ONE WORLD (Pvt) LtdColombo26 Apr 202626 Apr,VS ONE WORLD (Pvt) Ltd,,2026-04-26T20:40:45+05:30,Software Engineering,Senior Software Engineer – .NET (API & Middleware) VS ONE WORLD (Pvt) Ltd Colombo 26 Apr 2026 26 Apr,itpro.lk
.NET DeveloperD HELP HUB Private LimitedRemote26 Apr 202626 Apr,D HELP HUB Private Limited,,2026-04-26T13:34:57+05:30,Software Engineering,.NET Developer D HELP HUB Private Limited Remote 26 Apr 2026 26 Apr,itpro.lk
Software EngineerD HELP HUB Private LimitedRemote26 Apr 202626 Apr,D HELP HUB Private Limited,,2026-04-26T09:44:32+05:30,Software Engineering,Software Engineer D HELP HUB Private Limited Remote 26 Apr 2026 26 Apr,itpro.lk
Software Engineer / Senior Software Engineer - SalesforceCMS (Pvt) LtdColombo21 Apr 202621 Apr,CMS (Pvt) Ltd,,2026-04-21T02:38:21+05:30,Software Engineering,Software Engineer / Senior Software Engineer - Salesforce CMS (Pvt) Ltd Colombo 21 Apr 2026 21 Apr,itpro.lk
Full Stack .NET EngineerCMS (Pvt) LtdColombo21 Apr 202621 Apr,CMS (Pvt) Ltd,,2026-04-21T02:23:17+05:30,Software Engineering,Full Stack .NET Engineer CMS (Pvt) Ltd Colombo 21 Apr 2026 21 Apr,itpro.lk
Software Engineer - InternYggranet TechnologiesRemote20 Apr 202620 Apr,Yggranet Technologies,,2026-04-20T15:59:31+05:30,Software Engineering,Software Engineer - Intern Yggranet Technologies Remote 20 Apr 2026 20 Apr,itpro.lk
Intern / Trainee Laravel Software Developer (Full Stack)InBizSys (Private) LimitedColombo20 Apr 202620 Apr,InBizSys (Private) Limited,,2026-04-20T15:34:03+05:30,Software Engineering,Intern / Trainee Laravel Software Developer (Full Stack) InBizSys (Private) Limited Colombo 20 Apr 2026 20 Apr,itpro.lk
Software Engineer InternSisenco DigitalColombo20 Apr 202620 Apr,Sisenco Digital,,2026-04-20T14:07:52+05:30,Software Engineering,Software Engineer Intern Sisenco Digital Colombo 20 Apr 2026 20 Apr,itpro.lk
Senior Software EngineerSurecore (Pvt) LtdRemote20 Apr 202620 Apr,Surecore (Pvt) Ltd,,2026-04-20T07:35:09+05:30,Software Engineering,Senior Software Engineer Surecore (Pvt) Ltd Remote 20 Apr 2026 20 Apr,itpro.lk
IT / Full-Stack DeveloperPrime Path SolutionsColombo17 Apr 202617 Apr,Prime Path Solutions,,2026-04-17T17:22:28+05:30,Software Engineering,IT / Full-Stack Developer Prime Path Solutions Colombo 17 Apr 2026 17 Apr,itpro.lk
Odoo DeveloperOdexo Technologies (Pvt) LtdColombo15 Apr 202615 Apr,Odexo Technologies (Pvt) Ltd,,2026-04-15T21:32:48+05:30,Software Engineering,Odoo Developer Odexo Technologies (Pvt) Ltd Colombo 15 Apr 2026 15 Apr,itpro.lk
Frontend Developer InternRanga Technologies (PineGen AI)Remote14 Apr 202614 Apr,Ranga Technologies (PineGen AI),,2026-04-14T12:42:48+05:30,Software Engineering,Frontend Developer Intern Ranga Technologies (PineGen AI) Remote 14 Apr 2026 14 Apr,itpro.lk
Full Stack Developer InternshipPortal (PVT) LTDRemote11 Apr 202611 Apr,Portal (PVT) LTD,,2026-04-11T19:40:49+05:30,Software Engineering,Full Stack Developer Internship Portal (PVT) LTD Remote 11 Apr 2026 11 Apr,itpro.lk
Software EngineerItechroColombo10 Apr 202610 Apr,Itechro,,2026-04-10T18:14:55+05:30,Software Engineering,Software Engineer Itechro Colombo 10 Apr 2026 10 Apr,itpro.lk
Senior Backend EngineerSilverline ITRemote10 Apr 202610 Apr,Silverline IT,,2026-04-10T10:54:44+05:30,Software Engineering,Senior Backend Engineer Silverline IT Remote 10 Apr 2026 10 Apr,itpro.lk
Software EngineerCeycertColombo09 Apr 202609 Apr,Ceycert,,2026-04-09T09:29:34+05:30,Software Engineering,Software Engineer Ceycert Colombo 09 Apr 2026 09 Apr,itpro.lk
Senior Software Engineer (.NET / C#)BISTEC GlobalRemote09 Apr 202609 Apr,BISTEC Global,,2026-04-09T03:11:52+05:30,Software Engineering,Senior Software Engineer (.NET / C#) BISTEC Global Remote 09 Apr 2026 09 Apr,itpro.lk
Senior Back End Developer ShopifyI4t LabsColombo08 Apr 202608 Apr,I4t Labs,,2026-04-08T20:17:09+05:30,Software Engineering,Senior Back End Developer Shopify I4t Labs Colombo 08 Apr 2026 08 Apr,itpro.lk
"Associate Software Engineer – React, Spring BootSilverline ITRemote08 Apr 202608 Apr",Silverline IT,,2026-04-08T10:23:48+05:30,Software Engineering,"Associate Software Engineer – React, Spring Boot Silverline IT Remote 08 Apr 2026 08 Apr",itpro.lk
Software Developer InternGlamer MediaRemote08 Apr 202608 Apr,Glamer Media,,2026-04-08T10:04:50+05:30,Software Engineering,Software Developer Intern Glamer Media Remote 08 Apr 2026 08 Apr,itpro.lk
Senior DeveloperDigit Web Lanka (Pvt) LtdJaffna07 Apr 202607 Apr,Digit Web Lanka (Pvt) Ltd,,2026-04-07T15:59:20+05:30,Software Engineering,Senior Developer Digit Web Lanka (Pvt) Ltd Jaffna 07 Apr 2026 07 Apr,itpro.lk
Full Stack Software Engineer – InternQbinomRemote04 Apr 202604 Apr,Qbinom,,2026-04-04T14:34:03+05:30,Software Engineering,Full Stack Software Engineer – Intern Qbinom Remote 04 Apr 2026 04 Apr,itpro.lk
Java Full-Stack DeveloperFinakle Mangement Solution (Pvt) LtdGampaha03 Apr 202603 Apr,Finakle Mangement Solution (Pvt) Ltd,,2026-04-03T12:26:53+05:30,Software Engineering,Java Full-Stack Developer Finakle Mangement Solution (Pvt) Ltd Gampaha 03 Apr 2026 03 Apr,itpro.lk
Intern Software EngineerVornex LabsRemote02 Apr 202602 Apr,Vornex Labs,,2026-04-02T21:41:00+05:30,Software Engineering,Intern Software Engineer Vornex Labs Remote 02 Apr 2026 02 Apr,itpro.lk
Full-Stack Software Engineer Intern (Paid)Nippon IT and Educational Solution (NITES)Colombo01 Apr 202601 Apr,Nippon IT and Educational Solution (NITES),,2026-04-01T13:11:45+05:30,Software Engineering,Full-Stack Software Engineer Intern (Paid) Nippon IT and Educational Solution (NITES) Colombo 01 Apr 2026 01 Apr,itpro.lk
Full Stack Software EngineerGlobal Training Network AlliancesMoratuwa01 Apr 202601 Apr,Global Training Network Alliances,,2026-04-01T09:18:25+05:30,Software Engineering,Full Stack Software Engineer Global Training Network Alliances Moratuwa 01 Apr 2026 01 Apr,itpro.lk
Senior Software Engineer – Java (Spring Boot)teccianceColombo31 Mar 202631 Mar,tecciance,,2026-03-31T17:35:50+05:30,Software Engineering,Senior Software Engineer – Java (Spring Boot) tecciance Colombo 31 Mar 2026 31 Mar,itpro.lk
Software Engineer – Java (Spring Boot)teccianceColombo31 Mar 202631 Mar,tecciance,,2026-03-31T17:30:01+05:30,Software Engineering,Software Engineer – Java (Spring Boot) tecciance Colombo 31 Mar 2026 31 Mar,itpro.lk
.NET Backend Developer (ASP.NET Core)IykonsVavuniya30 Mar 202630 Mar,Iykons,,2026-03-30T20:56:04+05:30,Software Engineering,.NET Backend Developer (ASP.NET Core) Iykons Vavuniya 30 Mar 2026 30 Mar,itpro.lk
Internship Project ManagerRanga Technologies (PineGen AI)Remote30 Mar 202630 Mar,Ranga Technologies (PineGen AI),,2026-03-30T10:14:14+05:30,Software Engineering,Internship Project Manager Ranga Technologies (PineGen AI) Remote 30 Mar 2026 30 Mar,itpro.lk
Software EngineerInstitute of Ocean Resource AnalysisColombo30 Mar 202630 Mar,Institute of Ocean Resource Analysis,,2026-03-30T09:32:53+05:30,Software Engineering,Software Engineer Institute of Ocean Resource Analysis Colombo 30 Mar 2026 30 Mar,itpro.lk
Java Full Stack DeveloperRemote30 Mar 202630 Mar,,,2026-03-30T07:53:39+05:30,Software Engineering,Java Full Stack Developer Remote 30 Mar 2026 30 Mar,itpro.lk
Full Stack Developer InternNuwali Digital SolutionsKandy29 Mar 202629 Mar,Nuwali Digital Solutions,,2026-03-29T22:36:04+05:30,Software Engineering,Full Stack Developer Intern Nuwali Digital Solutions Kandy 29 Mar 2026 29 Mar,itpro.lk
Senior Full-Stack Engineer (Al-Native)Rope DigitalRemote27 Mar 202627 Mar,Rope Digital,,2026-03-27T22:02:35+05:30,Software Engineering,Senior Full-Stack Engineer (Al-Native) Rope Digital Remote 27 Mar 2026 27 Mar,itpro.lk
Senior/Software EngineerPacificKodeColombo27 Mar 202627 Mar,PacificKode,,2026-03-27T15:57:05+05:30,Software Engineering,Senior/Software Engineer PacificKode Colombo 27 Mar 2026 27 Mar,itpro.lk
Trainee / Associate Full-Stack DeveloperWishmiQ LtdRemote27 Mar 202627 Mar,WishmiQ Ltd,,2026-03-27T06:43:27+05:30,Software Engineering,Trainee / Associate Full-Stack Developer WishmiQ Ltd Remote 27 Mar 2026 27 Mar,itpro.lk
Software Engineer / Senior Software Engineer / Tech LeadAmerckColombo26 Mar 202626 Mar,Amerck,,2026-03-26T15:15:00+05:30,Software Engineering,Software Engineer / Senior Software Engineer / Tech Lead Amerck Colombo 26 Mar 2026 26 Mar,itpro.lk
Senior Software EngineerWEBXPAYColombo25 Mar 202625 Mar,WEBXPAY,,2026-03-25T23:01:00+05:30,Software Engineering,Senior Software Engineer WEBXPAY Colombo 25 Mar 2026 25 Mar,itpro.lk
Full-Stack DeveloperDigiratina Technology SolutionsColombo25 Mar 202625 Mar,Digiratina Technology Solutions,,2026-03-25T21:06:02+05:30,Software Engineering,Full-Stack Developer Digiratina Technology Solutions Colombo 25 Mar 2026 25 Mar,itpro.lk
Senior Software EngineerEffectz.AlColombo23 Mar 202623 Mar,Effectz.Al,,2026-03-23T18:52:54+05:30,Software Engineering,Senior Software Engineer Effectz.Al Colombo 23 Mar 2026 23 Mar,itpro.lk
QA Engineer (Manual & Automation)Wisdom RecruitmentSRemote4 hours ago4 hrs,Wisdom RecruitmentS,,2026-05-04T09:53:47+05:30,Quality Assurance,QA Engineer (Manual & Automation) Wisdom RecruitmentS Remote 4 hours ago 4 hrs,itpro.lk
Associate Quality Assurance EngineereArrow (Pvt) LTDColombo03 May 202603 May,eArrow (Pvt) LTD,,2026-05-03T00:32:49+05:30,Quality Assurance,Associate Quality Assurance Engineer eArrow (Pvt) LTD Colombo 03 May 2026 03 May,itpro.lk
Quality Assurance InternHotfix TechRemote01 May 202601 May,Hotfix Tech,,2026-05-01T12:12:35+05:30,Quality Assurance,Quality Assurance Intern Hotfix Tech Remote 01 May 2026 01 May,itpro.lk
"QA Engineer Intern (Software Testing & Automation)Sisenco DigitalKottawa, Colombo30 Apr 202630 Apr",Sisenco Digital,,2026-04-30T11:33:40+05:30,Quality Assurance,"QA Engineer Intern (Software Testing & Automation) Sisenco Digital Kottawa, Colombo 30 Apr 2026 30 Apr",itpro.lk
Quality Assurance EngineerRightmo Web SolutionGalle28 Apr 202628 Apr,Rightmo Web Solution,,2026-04-28T11:44:23+05:30,Quality Assurance,Quality Assurance Engineer Rightmo Web Solution Galle 28 Apr 2026 28 Apr,itpro.lk
QE Engineer - API & IntegrationVS ONE WORLD (Pvt) LtdColombo26 Apr 202626 Apr,VS ONE WORLD (Pvt) Ltd,,2026-04-26T20:44:22+05:30,Quality Assurance,QE Engineer - API & Integration VS ONE WORLD (Pvt) Ltd Colombo 26 Apr 2026 26 Apr,itpro.lk
QA AssociateD HELP HUB Private LimitedRemote26 Apr 202626 Apr,D HELP HUB Private Limited,,2026-04-26T13:23:12+05:30,Quality Assurance,QA Associate D HELP HUB Private Limited Remote 26 Apr 2026 26 Apr,itpro.lk
Quality Assurance EngineerSurecore (Pvt) LtdColombo20 Apr 202620 Apr,Surecore (Pvt) Ltd,,2026-04-20T07:30:43+05:30,Quality Assurance,Quality Assurance Engineer Surecore (Pvt) Ltd Colombo 20 Apr 2026 20 Apr,itpro.lk
QA Engineer InternQbinomNugegoda18 Apr 202618 Apr,Qbinom,,2026-04-18T14:53:46+05:30,Quality Assurance,QA Engineer Intern Qbinom Nugegoda 18 Apr 2026 18 Apr,itpro.lk
Trainee Quality Assurance EngineerEchonLabsColombo15 Apr 202615 Apr,EchonLabs,,2026-04-15T15:09:53+05:30,Quality Assurance,Trainee Quality Assurance Engineer EchonLabs Colombo 15 Apr 2026 15 Apr,itpro.lk
Quality Assurance InternNippon IT and Educational Solution (NITES)Galle10 Apr 202610 Apr,Nippon IT and Educational Solution (NITES),,2026-04-10T19:06:11+05:30,Quality Assurance,Quality Assurance Intern Nippon IT and Educational Solution (NITES) Galle 10 Apr 2026 10 Apr,itpro.lk
Associate QA EngineerPredictiv AIColombo10 Apr 202610 Apr,Predictiv AI,,2026-04-10T09:49:09+05:30,Quality Assurance,Associate QA Engineer Predictiv AI Colombo 10 Apr 2026 10 Apr,itpro.lk
Software Quality Engineer - PerformanceVitalHub Innovations LabColombo09 Apr 202609 Apr,VitalHub Innovations Lab,,2026-04-09T16:03:30+05:30,Quality Assurance,Software Quality Engineer - Performance VitalHub Innovations Lab Colombo 09 Apr 2026 09 Apr,itpro.lk
Software Quality Engineer - Test AutomationVitalHub Innovations LabColombo09 Apr 202609 Apr,VitalHub Innovations Lab,,2026-04-09T16:01:27+05:30,Quality Assurance,Software Quality Engineer - Test Automation VitalHub Innovations Lab Colombo 09 Apr 2026 09 Apr,itpro.lk
