ref_no,title,company,description,opening_date,closing_date,location,title_clean,skills_found
1495772,Project Engineer MEP - Colombo (1),JKH Property Group,Please refer the job advert.,2026-05-03,2026-05-10,Colombo,Project Engineer MEP,[]
1495771,ELV Engineer (1),JKH Property Group,Please refer to the job advert.,2026-05-03,2026-05-10,Not Specified,ELV Engineer,[]
1495770,Assistant Storekeeper - (Ja -Ela) (1),JKH Property Group,Please refer to the job advert.,2026-05-03,2026-05-10,Not Specified,Assistant Storekeeper - (Ja,[]
1495769,Draughtsman - (Colombo) (1),JKH Property Group,Please refer to the job advert.,2026-05-03,2026-05-10,Colombo,Draughtsman - (Colombo),[]
1495768,Site Engineer - (Ja ela) (1),JKH Property Group,Please refer the job advert.,2026-05-03,2026-05-10,Ja Ela,Site Engineer - (Ja ela),[]
1495767,Intern - Civil (Ja ela) (1),JKH Property Group,Please refer the job advert.,2026-05-03,2026-05-10,Ja Ela,Intern - Civil (Ja ela),['Internship']
1495766,Quantity Surveyor - MEP (Ja Ela) (1),JKH Property Group,Please refer the job advert.,2026-05-03,2026-05-10,Ja Ela,Quantity Surveyor - MEP (Ja Ela),[]
1495765,Senior Executive / Assistant Manager - KPI Management (1),D.Samson & Sons Ltd,Please refer the advertisement,2026-05-03,2026-05-17,Not Specified,Senior Executive / Assistant Manager,[]
1495764,Assistant - Payroll & HR Services (1),Sumathi Group,Please refer to the job advertisement.,2026-05-03,2026-05-17,Not Specified,Assistant,[]
1495700,Restaurant Manager,Rasa Ceylon,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Restaurant Manager,[]
1495656,Client Relations Executives,Platinum Immigration Solutions (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Client Relations Executives,[]
1495654,Client Relations Executives,Platinum Immigration Solutions (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Client Relations Executives,[]
1495651,Client Relations Executives,Platinum Immigration Solutions (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Client Relations Executives,[]
1495637,Digital Printing Operator | Junior Designer,Frella International (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Digital Printing Operator | Junior Designer,[]
1495635,Production Supervisor,KRAMSKI Lanka (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Production Supervisor,[]
1495633,Document Coordinator,KRAMSKI Lanka (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Document Coordinator,[]
1495616,Software Engineer - Web | Senior Software Engineer - Web & Software Engineer - Desktop,Afisol (Pvt) Ltd,"Immediate Vacancies for Software Engineers (Web/Desktop) """,2026-05-03,2026-05-14,Not Specified,Software Engineer - Web | Senior Software Engineer - Web & Software Engineer - Desktop,[]
1495615,Manager | Executive - Business Growth,medfuture,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Manager | Executive - Business Growth,[]
1495612,Legal Officer,Commercial Bank of Ceylon PLC,Please refer the vacancy,2026-05-03,2026-05-10,Not Specified,Legal Officer,[]
1495610,Executive - Account Receivables and Recovery,MedFuture Group,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Executive - Account Receivables and Recovery,[]
1495598,Senior Accountant,Indoscan (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Senior Accountant,[]
1495575,Management Trainee,Canbarra (Pvt) Ltd,Please refer the vacancy,2026-05-03,2026-05-14,Not Specified,Management Trainee,['Internship']
